1393 5420519 6368
1394 5426887 1499
1395 5428386 2696
1396 5431082 2105
1397 5433187 3120
1398 5436307 1614
1399 5437921 8526
1400 5446447 3515
1401 5449962 3402
1402 5453364 1377
1403 5454741 7927
1404 5462668 8211
1405 5470879 8648
1406 5479527 5697
1407 5485224 7430
1408 5492654 7093
1409 5499747 5502
1410 5505249 1806
1411 5507055 6435
1412 5513490 9047
1413 5522537 3875
1414 5526412 4604
1415 5531016 2738
1416 5533754 2408
1417 5536162 3872
1418 5540034 4820
1419 5544854 4273
1420 5549127 3258
1421 5552385 7063
1422 5559448 8586
1423 5568034 2807
1424 5570841 656
1425 5571497 4200
1426 5575697 8146
1427 5583843 8347
1428 5592190 5418
1429 5597608 2423
1430 5600031 7608
1431 5607639 6652
1432 5614291 2909
1433 5617200 1069
1434 5618269 3063
1435 5621332 10610
1436 5631942 7573
1437 5639515 7626
1438 5647141 2978
1439 5650119 1803
1440 5651922 8037
1441 5659959 6951
1442 5666910 4071
1443 5670981 1041
1444 5672022 9640
1445 5681662 2715
1446 5684377 3803
1447 5688180 5700
1448 5693880 14792
1449 5708672 3054
1450 5711726 7901
1451 5719627 6508
1452 5726135 2516
1453 5728651 3875
1454 5732526 3810
1455 5736336 1868
1456 5738204 3395
1457 5741599 5087
1458 5746686 2249
1459 5748935 1115
1460 5750050 1372
1461 5751422 4004
1462 5755426 999
1463 5756425 3495
1464 5759920 3309
1465 5763229 3684
1466 5766913 3285
1467 5770198 2473
1468 5772671 995
1469 5773666 1270
1470 5774936 8075
1471 5783011 7021
1472 5790032 4492
1473 5794524 7306
1474 5801830 1004
1475 5802834 3338
1476 5806172 9079
1477 5815251 2156
1478 5817407 6304
1479 5823711 6295
1480 5830006 1151
1481 5831157 839
1482 5831996 6809
1483 5838805 3590
1484 5842395 2689
1485 5845084 1032
1486 5846116 6725
1487 5852841 8231
1488 5861072 3727
1489 5864799 5032
1490 5869831 3512
1491 5873343 1900
1492 5875243 1003
1493 5876246 1422
1494 5877668 1181
1495 5878849 1310
1496 5880159 1819
1497 5881978 1815
1498 5883793 18366
1499 5902159 4422
1500 5906581 3560
1501 5910141 10524
1502 5920665 1230
1503 5921895 1517
1504 5923412 1986
1505 5925398 1643
1506 5927041 6255
1507 5933296 2006
1508 5935302 2686
1509 5937988 8861
1510 5946849 7988
1511 5954837 10052
1512 5964889 2225
1513 5967114 1630
1514 5968744 2114
1515 5970858 1889
1516 5972747 2450
1517 5975197 2908
1518 5978105 2596
1519 5980701 13315
1520 5994016 2503
1521 5996519 2274
1522 5998793 2528
1523 6001321 3100
1524 6004421 1601
1525 6006022 10174
1526 6016196 9666
1527 6025862 4734
1528 6030596 7014
1529 6037610 3674
1530 6041284 3441
1531 6044725 2861
1532 6047586 5892
1533 6053478 3098
1534 6056576 5873
1535 6062449 4787
1536 6067236 13749
1537 6080985 3845
1538 6084830 2984
1539 6087814 1638
1540 6089452 8123
1541 6097575 5706
1542 6103281 12517
1543 6115798 3830
1544 6119628 2219
1545 6121847 5482
1546 6127329 5864
1547 6133193 7942
1548 6141135 10157
